label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
44,36.0822766,140.0827694,52.01830651573835,-144.39897375079235,-4.201351775495249,0,0,0.0349066763154342,0.9988425686801138,0,0,0,0,1,-1,575.2058602910259,-80.98492955171015,23.59571012235535,-151.6582022076917,527.0166576371686,556.1191142525223
45,36.0822952,140.08275319999998,54.48317894730886,-142.44542405351618,-4.324373316103079,0,0,0.54170932360874,0.839169021975391,0,0,0,0,1,-1,573.7484358045219,-78.91438702327885,26.387232006181613,-150.20928602800316,523.1372665420854,551.9848277332105
46,36.0822894,140.0827189,54.37421293390422,-139.974951436944,-4.239753857275003,0,0,0.8941792018222974,0.4445242930962478,0,0,0,0,1,-1,570.6626543325357,-79.56004006951528,26.7502734765231,-147.76320560575155,519.8112313497683,548.1718251037893
47,36.0822864,140.0827134,53.73100362804087,-139.81957463193606,-4.200248663959473,0,0,0.9985027906914044,-0.0192536634880606,0,0,0,0,1,-1,570.1678497217522,-79.8939985418429,26.148373501140927,-147.48829365199433,519.9020010280295,548.2026808022617
48,36.0822802,140.08271689999998,53.1601112331511,-140.303276079187,-4.178682545344416,0,0,0.81416850946082,-0.5795839919875223,0,0,0,0,1,-1,570.4827253815328,-80.584179384917,25.495882390570383,-147.85454570624387,520.7581565557039,549.122901742644
49,36.0822714,140.0827538,52.26426607125522,-143.67258035808342,-4.201549525015997,0,0,0.9947642064415232,-0.0893602384948851,0,0,0,0,1,-1,573.8024144911013,-81.56379090427203,23.975376426627154,-150.99187123788627,525.223325819236,554.1931343183202
50,36.0822698,140.0827539,52.14373226109222,-143.67553558511574,-4.182546701817851,0,0,0.9963241721600417,0.0660605487931532,0,0,0,0,1,-1,573.8114109380123,-81.74190208924976,23.856481933973132,-150.97184045218611,525.3312687573115,554.2952356836325
51,36.0822676,140.08275419999998,52.242205128755344,-143.65762235042217,-4.187911445794755,0,0,0.998449317962424,-0.0092329141251486,0,0,0,0,1,-1,573.838400278745,-81.98680496869304,23.956564249536598,-150.9729892578447,525.2293599100079,554.1923197028538
52,36.0822572,140.0827666,50.39395712509622,-144.3978554419388,-4.072185304982914,0,0,0.9982831421340572,0.0042761381005098,0,0,0,0,1,-1,574.9539597621787,-83.14452767302582,22.001242385952725,-151.34806541357455,528.1241961218799,557.143096712217
53,36.0822551,140.0827665,50.238046427996345,-144.6717287304487,-4.0467517519420095,0,0,0.9985683849140152,-0.0150188768262914,0,0,0,0,1,-1,574.9449633152677,-83.37829860405063,21.79607393322037,-151.58727375296266,528.2747705560106,557.33845921079
54,36.0822448,140.0827656,48.319929552179865,-144.68853727747074,-3.9256100788352,0,0,0.998639321191546,0.0069565224463785,0,0,0,0,1,-1,574.8639952879556,-84.524889359174,19.909793746473596,-151.23884595035278,529.9701101877329,558.9498347907382
55,36.082236,140.08276,46.50849330382015,-144.56490953026506,-3.817520997833712,0,0,0.9990749029138916,-0.008372761661245,0,0,0,0,1,-1,574.3601942328181,-85.50450087773805,18.154964217410907,-150.77284334769882,531.1455074118953,560.0216196052329
56,36.0822245,140.0827602,44.619758276239686,-144.88628641806716,-3.682952475765264,0,0,0.9985755648286336,0.0022952792452106,0,0,0,0,1,-1,574.3781871266399,-86.78467502258343,16.239583882440254,-150.729010930124,532.9350712655307,561.7896212338231
57,36.0822209,140.0827575,43.60120833906522,-144.88507261608362,-3.5889363067679527,0,0,0.9988111833426716,-0.0105010670181222,0,0,0,0,1,-1,574.1352830447037,-87.18542518937657,15.239868784519325,-150.5340361347726,533.6624904721468,562.4741154842364
