label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1083,36.0821197,140.0819836,11.3661386602076,-78.2880210813435,-0.290936120954839,0,0,0.565276979289607,0.824536408684692,2,2,0,0,1,-1,504.511776269127,-98.4509576572136,,,,,,,,,,,,,,,,
1084,36.0821259,140.0819395,11.3849142519842,-74.1926765433688,-0.259028280263345,0,0,0.701136280618134,0.712702420634239,2,2,0,0,1,-1,500.544342946176,-97.7607768141395,,,,,,,,,,,,,,,,
1085,36.0821308,140.0818954,11.2348780798186,-70.1671991543137,-0.19659148213363,0,0,0.713820681450016,0.700051409405284,2,2,0,0,1,-1,496.576909623224,-97.2153113092059,,,,,,,,,,,,,,,,
1086,36.0821364,140.0818494,11.6657888045336,-66.1034906478402,-0.172501056932366,0,0,0.68245568905524,0.730705320585043,2,2,0,0,1,-1,492.438543796181,-96.5919221613883,,,,,,,,,,,,,,,,
1087,36.0821266,140.0817943,11.6433866074831,-62.0170308726808,-0.151257728257283,0,0,0.713665807428986,0.700328113995849,2,2,0,0,1,-1,487.481501254219,-97.6828531712555,,,,,,,,,,,,,,,,
1088,36.0821257,140.0817478,11.383122001424,-57.9775367742097,-0.136037740515771,0,0,0.722236953563814,0.691473581904454,2,2,0,0,1,-1,483.298153192621,-97.7830407125583,,,,,,,,,,,,,,,,
1089,36.0821118,140.081697,10.7668150032758,-53.9731506270942,-0.070723547501935,0,0,0.773987544608885,0.633043501444245,2,2,0,0,1,-1,478.727957890841,-99.3303816344748,,,,,,,,,,,,,,,,
1090,36.082101,140.0816478,10.5941968526184,-49.9289688470781,-0.083572741860206,0,0,0.717598922647036,0.696222285418768,2,2,0,0,1,-1,474.301705747307,-100.532632134854,,,,,,,,,,,,,,,,
1091,36.0820981,140.0815983,10.9027348106604,-45.8795799223407,-0.07699016448938,0,0,0.605315066182879,0.795798689454444,2,2,0,0,1,-1,469.84846426304,-100.855458658763,,,,,,,,,,,,,,,,
1092,36.0820928,140.0815516,10.5731637284415,-41.8429392714058,-0.124830907509193,0,0,0.738294235010674,0.674446395995228,2,2,0,0,1,-1,465.647123305063,-101.445451959744,,,,,,,,,,,,,,,,
1093,36.082087,140.0815025,10.0874123815241,-37.7249882127457,-0.100012965933821,0,0,0.687692577094715,0.725742861650785,2,2,0,0,1,-1,461.229867610996,-102.09110500598,,,,,,,,,,,,,,,,
1094,36.0820927,140.0814584,10.8745317314467,-33.7696540773344,-0.108773668897118,0,0,0.578779253344714,0.815447190941964,2,2,0,0,1,-1,457.262434288045,-101.456583908953,,,,,,,,,,,,,,,,
1095,36.08209,140.0814104,10.614675572059,-29.7138419907338,-0.142174100961745,0,0,0.758847749670609,0.651150807304897,2,2,0,0,1,-1,452.944139512556,-101.757146533653,,,,,,,,,,,,,,,,
1096,36.0820854,140.0813621,9.99065880307201,-25.6354360453259,-0.149690486944365,0,0,0.77102218251577,0.636335363174452,2,2,0,0,1,-1,448.59885539889,-102.269216191749,,,,,,,,,,,,,,,,
1097,36.0820862,140.081316,10.0732622936185,-21.6217507122701,-0.191097751810433,0,0,0.648624030998391,0.761022317578625,2,2,0,0,1,-1,444.451493124936,-102.180160598865,,,,,,,,,,,,,,,,
1098,36.0820886,140.0812703,10.224494947022,-17.5705853049907,-0.182962101142568,0,0,0.674434715821851,0.738114477636886,2,2,0,0,1,-1,440.340116643739,-101.912993821002,,,,,,,,,,,,,,,,
1099,36.0820913,140.0812219,10.3851624913826,-13.4562085947,-0.199173668434228,0,0,0.658926026038743,0.751970932640857,2,2,0,0,1,-1,435.985836080606,-101.612431195512,,,,,,,,,,,,,,,,
1100,36.0820932,140.0811743,10.3963051357665,-9.33584862562486,-0.1715007120338,0,0,0.766710990431332,0.641505102429291,2,2,0,0,1,-1,431.703527095317,-101.400924163697,,,,,,,,,,,,,,,,
