label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
37,36.082057899999995,140.0827254,25.152911153210628,-145.25775617777512,-2.432703316822703,0,0,-0.5568996908195051,0.8302391971466669,0,0,0,0,1,-1,571.2474234149854,-105.33050218874467
38,36.0820788,140.08274849999998,27.9264109485826,-146.59714429215703,-2.626152515796505,0,0,-0.044954457632053635,0.998799214414997,0,0,0,0,1,-1,573.3256027741395,-103.00392483086972
39,36.082111499999996,140.0827536,31.961396747141997,-146.3497316219399,-2.89000709957622,0,0,-0.1786797235867525,0.9834635803899983,0,0,0,0,1,-1,573.7844215947225,-99.36377748210307
40,36.0821414,140.0827588,35.94731139437638,-145.84642899548658,-3.120678011660298,0,0,0.10687224537141675,0.9939745469911723,0,0,0,0,1,-1,574.2522368622164,-96.03532470724522
41,36.0821694,140.08276659999999,39.967103609367335,-145.49642960200453,-3.3652466278001856,0,0,0.08523893573674786,0.9959715616773619,0,0,0,0,1,-1,574.9539597621787,-92.91837896499337
42,36.0821956,140.0827653,43.957551617943295,-144.8554382277122,-3.612677111332464,0,0,0.057932868805913036,0.9979624914203172,0,0,0,0,1,-1,574.8370059472229,-90.00180830613809
43,36.082239699999995,140.0827659,48.00484379922902,-144.45848063662993,-3.9083747028334965,0,0,0.03247568162156266,0.9991428402488093,0,0,0,0,1,-1,574.8909846312454,-85.09261876252646
44,36.0822766,140.0827694,52.01830651573835,-144.39897375079235,-4.201351775495249,0,0,0.03490667631543424,0.9988425686801138,0,0,0,0,1,-1,575.2058602910259,-80.98492955171015
45,36.0822952,140.08275319999998,54.48317894730886,-142.44542405351618,-4.324373316103079,0,0,0.54170932360874,0.839169021975391,0,0,0,0,1,-1,573.7484358045219,-78.91438702327885
46,36.0822894,140.0827189,54.37421293390422,-139.974951436944,-4.239753857275003,0,0,0.8941792018222974,0.4445242930962478,0,0,0,0,1,-1,570.6626543325357,-79.56004006951528
47,36.0822864,140.0827134,53.73100362804087,-139.81957463193606,-4.200248663959473,0,0,0.9985027906914045,-0.01925366348806066,0,0,0,0,1,-1,570.1678497217522,-79.8939985418429
48,36.0822802,140.08271689999998,53.1601112331511,-140.303276079187,-4.178682545344416,0,0,0.81416850946082,-0.5795839919875223,0,0,0,0,1,-1,570.4827253815328,-80.584179384917
49,36.082271399999996,140.0827538,52.26426607125522,-143.67258035808342,-4.201549525015997,0,0,0.9947642064415232,-0.08936023849488513,0,0,0,0,1,-1,573.8024144911013,-81.56379090427203
50,36.0822698,140.0827539,52.14373226109222,-143.67553558511574,-4.182546701817851,0,0,0.9963241721600415,0.06606054879315323,0,0,0,0,1,-1,573.8114109380123,-81.74190208924976
51,36.0822676,140.08275419999998,52.242205128755344,-143.65762235042217,-4.187911445794755,0,0,0.998449317962424,-0.009232914125148683,0,0,0,0,1,-1,573.838400278745,-81.98680496869304
52,36.0822572,140.08276659999999,50.39395712509622,-144.3978554419388,-4.072185304982914,0,0,0.9982831421340572,0.004276138100509858,0,0,0,0,1,-1,574.9539597621787,-83.14452767302582
53,36.0822551,140.0827665,50.238046427996345,-144.6717287304487,-4.0467517519420095,0,0,0.9985683849140152,-0.015018876826291437,0,0,0,0,1,-1,574.9449633152677,-83.37829860405063
54,36.0822448,140.0827656,48.319929552179865,-144.68853727747074,-3.9256100788351995,0,0,0.998639321191546,0.006956522446378558,0,0,0,0,1,-1,574.8639952879556,-84.524889359174
55,36.082236,140.08276,46.508493303820146,-144.56490953026506,-3.817520997833712,0,0,0.9990749029138917,-0.008372761661245088,0,0,0,0,1,-1,574.3601942328181,-85.50450087773805
56,36.082224499999995,140.0827602,44.619758276239686,-144.88628641806716,-3.6829524757652634,0,0,0.9985755648286336,0.002295279245210655,0,0,0,0,1,-1,574.3781871266399,-86.78467502258343
57,36.082220899999996,140.08275749999999,43.60120833906522,-144.88507261608362,-3.5889363067679527,0,0,0.9988111833426716,-0.010501067018122248,0,0,0,0,1,-1,574.1352830447037,-87.18542518937657
58,36.082200799999995,140.0827554,40.6672092395449,-145.4605930552872,-3.430112204004452,0,0,0.9992216959472869,0.006466967064150624,0,0,0,0,1,-1,573.9463576493467,-89.42294695436718
59,36.0821943,140.0827539,39.65431301288595,-145.3202892087178,-3.359242986061828,0,0,0.9986809672481815,-0.012041010561517535,0,0,0,0,1,-1,573.8114109380123,-90.14652364427855
60,36.0821897,140.0827498,38.40231860567193,-145.44973277885285,-3.2969800611474596,0,0,0.9987746705742344,0.00970729090049591,0,0,0,0,1,-1,573.4425565916523,-90.65859330158392
61,36.0821768,140.0827496,36.20121072462944,-145.37463626763864,-3.134100112732078,0,0,0.9988334798444998,-0.0016205745082600454,0,0,0,0,1,-1,573.4245636978305,-92.09461473298822
