label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2041,36.0805734,140.0799948,325.590429480789,-270.584286270976,-0.50355704107404,0,0,0.58362169546516,0.811995325618346,2,2,0,0,1,-1,325.590429480789,-270.584286270976
2042,36.0805841,140.0800385,329.521877016097,-269.393167719806,-0.561824915896053,0,0,0.564495236957683,0.825379435268173,2,2,0,0,1,-1,329.521877016097,-269.393167719806
2043,36.0805952,140.0800831,333.53429257616,-268.157521371798,-0.599472067507782,0,0,0.566570679818199,0.823981540886202,2,2,0,0,1,-1,333.53429257616,-268.157521371798
2044,36.0806046,140.0801245,337.258821817175,-267.111118157978,-0.634771329281177,0,0,0.549214001239917,0.83561034212834,2,2,0,0,1,-1,337.258821817175,-267.111118157978
2045,36.0806146,140.0801708,341.424176984951,-265.997923250483,-0.686992315846369,0,0,0.553667125395296,0.832709473664851,2,2,0,0,1,-1,341.424176984951,-265.997923250483
2046,36.0806245,140.0802132,345.238670702746,-264.895860291406,-0.713253603919201,0,0,0.561537394350534,0.827384126372765,2,2,0,0,1,-1,345.238670702746,-264.895860291406
2047,36.0806357,140.0802569,349.170118235497,-263.64908199498,-0.739415891487684,0,0,0.567490541615052,0.823311613536746,2,2,0,0,1,-1,349.170118235497,-263.64908199498
2048,36.080647,140.0803001,353.056583531136,-262.391171748553,-0.786211331874183,0,0,0.538524195568065,0.842575979659186,2,2,0,0,1,-1,353.056583531136,-262.391171748553
2049,36.0806564,140.0803439,356.997027513355,-261.344768535524,-0.770146577955485,0,0,0.628865085704117,0.77743653379708,2,2,0,0,1,-1,356.997027513355,-261.344768535524
2050,36.0806676,140.0803841,360.613599386325,-260.097990238307,-0.788687739366091,0,0,0.58171245119094,0.813321759888899,2,2,0,0,1,-1,360.613599386325,-260.097990238307
2051,36.0806807,140.0804269,364.464078891764,-258.639704909274,-0.800696819618761,0,0,0.619741370518995,0.784744811096773,2,2,0,0,1,-1,364.464078891764,-258.639704909274
2052,36.080691,140.0804686,368.215597476069,-257.49311415336,-0.807397186233204,0,0,0.558639431444576,0.829293358151024,2,2,0,0,1,-1,368.215597476069,-257.49311415336
2053,36.0807006,140.0805113,372.057080534597,-256.424447041912,-0.807878509112675,0,0,0.551607345888567,0.833975364549245,2,2,0,0,1,-1,372.057080534597,-256.424447041912
2054,36.0807114,140.0805554,376.024513857548,-255.222196541532,-0.816034217808454,0,0,0.558408894092932,0.829439917380137,2,2,0,0,1,-1,376.024513857548,-255.222196541532
2055,36.0807225,140.0805954,379.623092836696,-253.986550193525,-0.817449804277799,0,0,0.585411476244456,0.810674520194234,2,2,0,0,1,-1,379.623092836696,-253.986550193525
2056,36.0807347,140.0806356,383.239664709667,-252.628452405795,-0.794369680562942,0,0,0.645119708432012,0.763913435923367,2,2,0,0,1,-1,383.239664709667,-252.628452405795
2057,36.0807465,140.0806449,384.076334320964,-251.314882414903,-0.781018021478313,0,0,0.951379554538638,0.307708999145574,2,2,0,0,1,-1,384.076334320964,-251.314882414903
2058,36.0807815,140.0806454,384.121316558075,-247.418700236693,-0.791586660511573,0,0,0.94646406576842,0.322477304059456,2,2,0,0,1,-1,384.121316558075,-247.418700236693
2059,36.0808203,140.0806353,383.212675366377,-243.099503994062,-0.791710522251001,0,0,0.977159474332155,0.211778432830916,2,2,0,0,1,-1,383.212675366377,-243.099503994062
2060,36.0808557,140.0806256,382.34001996488,-239.158794019805,-0.805355425312189,0,0,0.962161905107111,0.272083841902593,2,2,0,0,1,-1,382.34001996488,-239.158794019805
2061,36.0808899,140.0806096,380.900588374754,-235.35166743527,-0.780829757257541,0,0,0.990566062255622,0.136325553961335,2,2,0,0,1,-1,380.900588374754,-235.35166743527
2062,36.0809178,140.0805933,379.434167441339,-232.245853641436,-0.77515227196707,0,0,0.999938818324829,-0.003752315940111,2,2,0,0,1,-1,379.434167441339,-232.245853641436
2063,36.080919,140.0805919,379.308217176916,-232.112270252505,-0.77815255033486,0,0,0.999929914982658,0.003610793364146,2,2,0,0,1,-1,379.308217176916,-232.112270252505
2064,36.0809276,140.080584,378.597497827486,-231.15492263236,-0.791536207741556,0,0,0.99992048132259,-0.002547900156774,2,2,0,0,1,-1,378.597497827486,-231.15492263236
2065,36.0809534,140.0805534,375.844584909102,-228.282879769552,-0.795438095574116,0,0,0.997662173787226,-0.066874412116854,2,2,0,0,1,-1,375.844584909102,-228.282879769552
2066,36.080965,140.0805338,374.081281209728,-226.991573676288,-0.794724391095062,0,0,0.999466762168756,0.029691072042838,2,2,0,0,1,-1,374.081281209728,-226.991573676288
2067,36.0809689,140.0805309,373.82038423397,-226.557427662657,-0.778652603678039,0,0,0.999926174758085,-0.003829799321806,2,2,0,0,1,-1,373.82038423397,-226.557427662657
2068,36.0809931,140.0805002,371.058474868676,-223.863495984827,-0.797498986308229,0,0,0.996519929215285,-0.082747420041343,2,2,0,0,1,-1,371.058474868676,-223.863495984827
2069,36.0810182,140.0804691,368.26057971318,-221.069376766484,-0.806564056387305,0,0,0.999261739075685,-0.037679321847592,2,2,0,0,1,-1,368.26057971318,-221.069376766484
2070,36.0810409,140.0804336,365.066840870592,-218.542424325212,-0.823495371468411,0,0,0.992496415206652,-0.121068311758303,2,2,0,0,1,-1,365.066840870592,-218.542424325212
2071,36.0810656,140.0803998,362.026041633161,-215.792832902916,-0.773350535272766,0,0,0.999226581452501,-0.034806368919124,2,2,0,0,1,-1,362.026041633161,-215.792832902916
2072,36.0810902,140.0803691,359.264132267866,-213.054373429039,-0.756538383492744,0,0,0.995083720459136,-0.097803879738719,2,2,0,0,1,-1,359.264132267866,-213.054373429039
2073,36.0811075,140.0803417,356.79910566853,-211.128546237957,-0.741864963234759,0,0,0.999672002930322,0.019419202213247,2,2,0,0,1,-1,356.79910566853,-211.128546237957
2074,36.0811106,140.0803392,356.574194482973,-210.783455817211,-0.760500512070833,0,0,0.999856558600648,-0.014594705332376,2,2,0,0,1,-1,356.574194482973,-210.783455817211
2075,36.0811344,140.080308,353.767302880566,-208.134051936218,-0.750497222340324,0,0,0.989817577087668,-0.14112168347385,2,2,0,0,1,-1,353.767302880566,-208.134051936218
2076,36.0811413,140.0802985,352.912640372891,-207.365947449469,-0.749304265743809,0,0,0.999791524045653,0.000929213867825,2,2,0,0,1,-1,352.912640372891,-207.365947449469
2077,36.0811729,140.080279,351.158333120428,-203.848251540424,-0.742531739467377,0,0,0.986805335378155,0.161151998775771,2,2,0,0,1,-1,351.158333120428,-203.848251540424
